suite,method,regime,seed,eval_final,eval_last5,eval_mean_all,train_last50,msg_acc_last50,msg_loss_last50,entropy_last50,updates
main,mappo-intent-aux,baseline,7,28.883333333333333,36.20666666666666,14.100416666666666,139.75,0.5531103515625,0.9072385884076357,1.477232998907566,1000
main,mappo-intent-aux,dropout-only,0,30.7,17.48,7.066666666666667,58.45,0.5798938272893429,0.8591060821898282,1.4854493540525437,1000
main,mappo-intent-aux,dropout-only,1,39.53333333333333,21.21,6.627083333333333,69.36,0.5384339179471135,0.9781742388755084,1.3207433068752288,1000
main,mappo-intent-aux,dropout-only,2,29.883333333333333,22.313333333333333,9.114583333333332,63.07,0.5234143360238522,0.9697585303336382,1.5277837643772363,1000
main,mappo-intent-aux,dropout-only,3,17.383333333333333,6.123333333333333,2.2625,10.79,0.744190679192543,0.5418612145679071,1.7204638256132603,1000
main,mappo-intent-aux,dropout-only,4,33.95,21.116666666666667,6.566249999999999,82.64,0.5657281788205728,0.9090629017166794,1.155252169072628,1000
main,mappo-intent-aux,dropout-only,5,35.916666666666664,25.723333333333336,9.903749999999999,77.65,0.5409817203506827,0.9862809539958834,1.3538270753622055,1000
main,mappo-intent-aux,dropout-only,6,27.283333333333335,17.833333333333336,5.582916666666667,66.04,0.5388230765238404,0.9515525582805275,1.5505972184985877,1000
main,mappo-intent-aux,dropout-only,7,14.0,15.216666666666665,3.4425,57.4,0.5424374072439968,0.9475429286062718,1.6024094174802304,1000
main,mappo-no-comm,baseline,0,33.233333333333334,23.990000000000002,8.174583333333334,107.14,0.0,0.0,0.5433517456054687,1000
main,mappo-no-comm,baseline,1,24.966666666666665,10.8,2.805833333333333,62.68,0.0,0.0,0.8304023903608322,1000
main,mappo-no-comm,baseline,2,75.66666666666667,49.49666666666667,13.294583333333332,138.79,0.0,0.0,0.4420407421886921,1000
main,mappo-no-comm,baseline,3,37.333333333333336,23.976666666666667,8.169166666666666,106.96,0.0,0.0,0.46946538219228384,1000
main,mappo-no-comm,baseline,4,24.733333333333334,39.446666666666665,10.204166666666667,120.39,0.0,0.0,0.4059947647899389,1000
main,mappo-no-comm,baseline,5,57.35,40.89,7.815,103.98,0.0,0.0,0.6621351185999811,1000
main,mappo-no-comm,baseline,6,41.28333333333333,41.13,12.885,103.67,0.0,0.0,0.5889613053202629,1000
main,mappo-no-comm,baseline,7,40.95,38.64333333333333,12.665416666666667,124.2,0.0,0.0,0.5808552278392017,1000
main,mappo-no-comm,dropout-only,0,49.18333333333333,29.089999999999996,8.5075,76.85,0.0,0.0,0.19244298576610164,1000
main,mappo-no-comm,dropout-only,1,53.483333333333334,34.06666666666667,8.56125,81.68,0.0,0.0,0.16423828050959854,1000
main,mappo-no-comm,dropout-only,2,29.883333333333333,18.753333333333334,5.776666666666666,67.31,0.0,0.0,0.5388520895130933,1000
main,mappo-no-comm,dropout-only,3,12.5,9.423333333333334,3.10875,18.7,0.0,0.0,0.9657238538376987,1000
main,mappo-no-comm,dropout-only,4,38.11666666666667,25.81666666666667,7.4975,87.61,0.0,0.0,0.34518472248513715,1000
main,mappo-no-comm,dropout-only,5,12.5,9.606666666666666,3.0675,15.34,0.0,0.0,1.1584582518972457,1000
main,mappo-no-comm,dropout-only,6,45.88333333333333,31.6,9.129583333333333,66.1,0.0,0.0,0.3477767845336348,1000
main,mappo-no-comm,dropout-only,7,4.166666666666667,1.6666666666666667,1.1425,2.53,0.0,0.0,1.2093671691417693,1000
stress_t50,mappo-comm,dropout-only,0,17.0,6.323333333333333,1.840833333333333,20.56,0.0,0.0,2.6824019038677216,1000
stress_t50,mappo-comm,dropout-only,1,12.5,5.496666666666667,2.1662500000000002,16.79,0.0,0.0,2.694414850026369,1000
stress_t50,mappo-comm,dropout-only,2,12.5,4.153333333333333,1.9358333333333335,4.29,0.0,0.0,2.999476308822632,1000
stress_t50,mappo-comm,dropout-only,3,33.733333333333334,17.31,3.6454166666666667,59.2,0.0,0.0,1.8434979691356421,1000
stress_t50,mappo-comm,dropout-only,4,17.066666666666666,5.323333333333333,1.5991666666666666,17.19,0.0,0.0,2.45018607288599,1000
stress_t50,mappo-comm,dropout-only,5,17.283333333333335,14.463333333333333,3.6725000000000003,47.93,0.0,0.0,1.8978874292224646,1000
stress_t50,mappo-comm,dropout-only,6,12.5,3.413333333333333,1.5308333333333333,9.32,0.0,0.0,2.3996502335369585,1000
stress_t50,mappo-comm,dropout-only,7,21.1,8.516666666666667,2.0970833333333334,3.35,0.0,0.0,2.9536759468913076,1000
stress_t50,mappo-intent-aux,dropout-only,0,29.866666666666667,18.466666666666665,5.6175,70.83,0.6391919965669512,0.7589949087053537,1.3219512316212059,1000
stress_t50,mappo-intent-aux,dropout-only,1,16.6,13.276666666666667,3.2270833333333337,43.83,0.5867610642220825,0.8598694801330566,1.667556256428361,1000
stress_t50,mappo-intent-aux,dropout-only,2,29.866666666666667,16.05,5.154999999999999,43.71,0.5710397035768255,0.8544645244441926,1.7030304645746945,1000
stress_t50,mappo-intent-aux,dropout-only,3,39.25,24.9,7.235833333333334,59.71,0.516299755461514,0.9893808298185468,1.5229527707397938,1000
stress_t50,mappo-intent-aux,dropout-only,4,36.983333333333334,21.136666666666667,8.330416666666668,65.93,0.6458333313278853,0.7843975267931819,1.3032833283394576,1000
stress_t50,mappo-intent-aux,dropout-only,5,29.766666666666666,18.69,8.5775,69.88,0.5491643361933529,0.9239257169142365,1.4417692865431309,1000
stress_t50,mappo-intent-aux,dropout-only,6,30.083333333333332,19.303333333333335,6.691249999999999,65.75,0.5777659602370113,0.8737443679757416,1.3089895664155484,1000
stress_t50,mappo-intent-aux,dropout-only,7,16.983333333333334,11.096666666666668,2.32375,39.88,0.6192779415473342,0.8188357920851559,1.58061022028327,1000
stress_t50,mappo-no-comm,dropout-only,0,12.5,4.166666666666667,0.9375,7.02,0.0,0.0,1.059236622750759,1000
stress_t50,mappo-no-comm,dropout-only,1,33.916666666666664,23.596666666666668,7.208749999999999,69.2,0.0,0.0,0.3399343927204609,1000
stress_t50,mappo-no-comm,dropout-only,2,29.866666666666667,11.916666666666668,3.900416666666666,28.98,0.0,0.0,0.9902242058701813,1000
stress_t50,mappo-no-comm,dropout-only,3,8.733333333333333,3.483333333333333,0.55625,0.3,0.0,0.0,1.2087810746580363,1000
stress_t50,mappo-no-comm,dropout-only,4,12.5,4.3100000000000005,1.1533333333333333,4.17,0.0,0.0,1.2833327399939298,1000
stress_t50,mappo-no-comm,dropout-only,5,17.35,10.113333333333333,4.113333333333333,37.49,0.0,0.0,0.7999839204503223,1000
stress_t50,mappo-no-comm,dropout-only,6,12.5,4.166666666666667,1.6133333333333333,4.79,0.0,0.0,0.9281956887245179,1000
stress_t50,mappo-no-comm,dropout-only,7,37.28333333333333,21.706666666666667,5.785,69.35,0.0,0.0,0.283266499619931,1000
noecho_t100,mappo-comm,dropout-only,0,12.5,8.61,1.8679166666666667,15.14,0.0,0.0,2.4860458344221117,1000
noecho_t100,mappo-comm,dropout-only,1,19.916666666666668,7.133333333333333,3.0283333333333333,28.82,0.0,0.0,2.611658784598112,1000
noecho_t100,mappo-comm,dropout-only,2,13.3,3.66,1.37125,6.26,0.0,0.0,2.894861545562744,1000
noecho_t100,mappo-comm,dropout-only,3,17.433333333333334,14.15,4.277916666666667,36.14,0.0,0.0,2.50464113175869,1000
noecho_t100,mappo-comm,dropout-only,4,57.75,26.293333333333333,7.347916666666667,74.66,0.0,0.0,1.312323593273759,1000
noecho_t100,mappo-comm,dropout-only,5,34.666666666666664,20.246666666666666,4.980833333333333,59.75,0.0,0.0,2.293309206366539,1000
noecho_t100,mappo-comm,dropout-only,6,12.5,4.166666666666667,1.2479166666666668,10.86,0.0,0.0,2.782173092216253,1000
noecho_t100,mappo-comm,dropout-only,7,12.5,5.156666666666667,2.6554166666666665,23.92,0.0,0.0,2.4770123337209227,1000
noecho_t100,mappo-intent-aux,dropout-only,0,34.583333333333336,22.123333333333335,8.851666666666667,69.63,0.5652644222509116,0.9064266948401928,1.579975579828024,1000
noecho_t100,mappo-intent-aux,dropout-only,1,22.4,17.9,5.373749999999999,45.09,0.5041989478329196,1.004664710648358,1.746316448673606,1000
noecho_t100,mappo-intent-aux,dropout-only,2,39.43333333333333,20.876666666666665,5.942083333333334,82.02,0.5494048074446618,0.9652817667275667,1.2125494084507227,1000
noecho_t100,mappo-intent-aux,dropout-only,3,23.183333333333334,18.9,7.532916666666667,53.93,0.49496990723535417,1.0370517452433705,1.689108459725976,1000
noecho_t100,mappo-intent-aux,dropout-only,4,35.85,39.24333333333333,14.234583333333333,94.5,0.5675054450146854,0.9173222376033664,1.0742176956683398,1000
noecho_t100,mappo-intent-aux,dropout-only,5,39.4,25.403333333333332,9.935416666666667,78.37,0.5505443672649563,0.933839445002377,1.2816405035555363,1000
noecho_t100,mappo-intent-aux,dropout-only,6,47.483333333333334,33.25,10.798333333333334,77.62,0.513354283683002,0.9798622760176658,1.3102932760864496,1000
noecho_t100,mappo-intent-aux,dropout-only,7,38.96666666666667,26.063333333333333,8.984583333333333,78.08,0.5300952689349652,0.9844883162900806,1.293046848103404,1000
