machine,phase,env,method,regime,delay,seed,run_name,train_last50_mean,eval_last10_mean,entropy_last100_mean,q_table_size_final,updates,eval_points_used,metrics_path
pk,headroom,rware-small-4ag-v2,mappo-heartbeat-only,delay-dropout,30,2,mappo-heartbeat-only__delay-dropout__d30__s2,183.67,61.015,0.7599902843497693,,1000,10,matrix_results/overnight_v1_pk/headroom/rware-small-4ag-v2/mappo-heartbeat-only__delay-dropout__d30__s2/metrics.csv
pk,headroom,rware-small-4ag-v2,mappo-heartbeat-only,delay-dropout,30,3,mappo-heartbeat-only__delay-dropout__d30__s3,209.07,60.57833333333333,0.5344780137948691,,1000,10,matrix_results/overnight_v1_pk/headroom/rware-small-4ag-v2/mappo-heartbeat-only__delay-dropout__d30__s3/metrics.csv
pk,headroom,rware-small-4ag-v2,mappo-heartbeat-only,delay-only,30,0,mappo-heartbeat-only__delay-only__d30__s0,210.61,55.60333333333333,0.7893277995102107,,1000,10,matrix_results/overnight_v1_pk/headroom/rware-small-4ag-v2/mappo-heartbeat-only__delay-only__d30__s0/metrics.csv
pk,headroom,rware-small-4ag-v2,mappo-heartbeat-only,delay-only,30,1,mappo-heartbeat-only__delay-only__d30__s1,206.25,47.196666666666665,0.491382039450109,,1000,10,matrix_results/overnight_v1_pk/headroom/rware-small-4ag-v2/mappo-heartbeat-only__delay-only__d30__s1/metrics.csv
pk,headroom,rware-small-4ag-v2,mappo-heartbeat-only,delay-only,30,2,mappo-heartbeat-only__delay-only__d30__s2,269.55,69.93166666666666,0.7343253189325333,,1000,10,matrix_results/overnight_v1_pk/headroom/rware-small-4ag-v2/mappo-heartbeat-only__delay-only__d30__s2/metrics.csv
pk,headroom,rware-small-4ag-v2,mappo-heartbeat-only,delay-only,30,3,mappo-heartbeat-only__delay-only__d30__s3,181.5,41.54833333333333,0.6894984432868659,,1000,10,matrix_results/overnight_v1_pk/headroom/rware-small-4ag-v2/mappo-heartbeat-only__delay-only__d30__s3/metrics.csv
pk,heuristic,rware-medium-4ag-v2,heuristic,baseline,0,0,heuristic__baseline__d0__s0,0.15,0.1,,,20,10,matrix_results/overnight_v1_pk/heuristic/heuristic__baseline__d0__s0/metrics.csv
pk,heuristic,rware-medium-4ag-v2,heuristic,baseline,0,1,heuristic__baseline__d0__s1,0.1,0.1,,,20,10,matrix_results/overnight_v1_pk/heuristic/heuristic__baseline__d0__s1/metrics.csv
pk,heuristic,rware-medium-4ag-v2,heuristic,baseline,0,2,heuristic__baseline__d0__s2,0.1,0.1,,,20,10,matrix_results/overnight_v1_pk/heuristic/heuristic__baseline__d0__s2/metrics.csv
pk,heuristic,rware-medium-4ag-v2,heuristic,baseline,0,3,heuristic__baseline__d0__s3,0.1,0.2,,,20,10,matrix_results/overnight_v1_pk/heuristic/heuristic__baseline__d0__s3/metrics.csv
pk,heuristic,rware-medium-4ag-v2,heuristic,delay-dropout,30,0,heuristic__delay-dropout__d30__s0,0.0,0.0,,,20,10,matrix_results/overnight_v1_pk/heuristic/heuristic__delay-dropout__d30__s0/metrics.csv
pk,heuristic,rware-medium-4ag-v2,heuristic,delay-dropout,30,1,heuristic__delay-dropout__d30__s1,0.0,0.0,,,20,10,matrix_results/overnight_v1_pk/heuristic/heuristic__delay-dropout__d30__s1/metrics.csv
pk,heuristic,rware-medium-4ag-v2,heuristic,delay-dropout,30,2,heuristic__delay-dropout__d30__s2,0.0,0.0,,,20,10,matrix_results/overnight_v1_pk/heuristic/heuristic__delay-dropout__d30__s2/metrics.csv
pk,heuristic,rware-medium-4ag-v2,heuristic,delay-dropout,30,3,heuristic__delay-dropout__d30__s3,0.0,0.0,,,20,10,matrix_results/overnight_v1_pk/heuristic/heuristic__delay-dropout__d30__s3/metrics.csv
pk,heuristic,rware-medium-4ag-v2,heuristic,delay-only,30,0,heuristic__delay-only__d30__s0,0.0,0.0,,,20,10,matrix_results/overnight_v1_pk/heuristic/heuristic__delay-only__d30__s0/metrics.csv
pk,heuristic,rware-medium-4ag-v2,heuristic,delay-only,30,1,heuristic__delay-only__d30__s1,0.0,0.0,,,20,10,matrix_results/overnight_v1_pk/heuristic/heuristic__delay-only__d30__s1/metrics.csv
pk,heuristic,rware-medium-4ag-v2,heuristic,delay-only,30,2,heuristic__delay-only__d30__s2,0.0,0.0,,,20,10,matrix_results/overnight_v1_pk/heuristic/heuristic__delay-only__d30__s2/metrics.csv
pk,heuristic,rware-medium-4ag-v2,heuristic,delay-only,30,3,heuristic__delay-only__d30__s3,0.0,0.0,,,20,10,matrix_results/overnight_v1_pk/heuristic/heuristic__delay-only__d30__s3/metrics.csv
pk,heuristic,rware-medium-4ag-v2,heuristic,dropout-only,0,0,heuristic__dropout-only__d0__s0,0.15,0.1,,,20,10,matrix_results/overnight_v1_pk/heuristic/heuristic__dropout-only__d0__s0/metrics.csv
pk,heuristic,rware-medium-4ag-v2,heuristic,dropout-only,0,1,heuristic__dropout-only__d0__s1,0.1,0.1,,,20,10,matrix_results/overnight_v1_pk/heuristic/heuristic__dropout-only__d0__s1/metrics.csv
pk,heuristic,rware-medium-4ag-v2,heuristic,dropout-only,0,2,heuristic__dropout-only__d0__s2,0.1,0.1,,,20,10,matrix_results/overnight_v1_pk/heuristic/heuristic__dropout-only__d0__s2/metrics.csv
pk,heuristic,rware-medium-4ag-v2,heuristic,dropout-only,0,3,heuristic__dropout-only__d0__s3,0.1,0.2,,,20,10,matrix_results/overnight_v1_pk/heuristic/heuristic__dropout-only__d0__s3/metrics.csv
pk,hrl,rware-medium-4ag-v2,hrl-comm,delay-dropout,30,0,hrl-comm__delay-dropout__d30__s0,0.1,0.07,,699.0,600,10,matrix_results/overnight_v1_pk/hrl/hrl-comm__delay-dropout__d30__s0/metrics.csv
pk,hrl,rware-medium-4ag-v2,hrl-comm,delay-dropout,30,1,hrl-comm__delay-dropout__d30__s1,0.1,0.05,,714.0,600,10,matrix_results/overnight_v1_pk/hrl/hrl-comm__delay-dropout__d30__s1/metrics.csv
pk,hrl,rware-medium-4ag-v2,hrl-comm,delay-dropout,30,2,hrl-comm__delay-dropout__d30__s2,0.1,0.07,,731.0,600,10,matrix_results/overnight_v1_pk/hrl/hrl-comm__delay-dropout__d30__s2/metrics.csv
pk,hrl,rware-medium-4ag-v2,hrl-comm,delay-dropout,30,3,hrl-comm__delay-dropout__d30__s3,0.08,0.08,,708.0,600,10,matrix_results/overnight_v1_pk/hrl/hrl-comm__delay-dropout__d30__s3/metrics.csv
pk,hrl,rware-medium-4ag-v2,hrl-comm,delay-only,30,0,hrl-comm__delay-only__d30__s0,0.1,0.05,,763.0,600,10,matrix_results/overnight_v1_pk/hrl/hrl-comm__delay-only__d30__s0/metrics.csv
pk,hrl,rware-medium-4ag-v2,hrl-comm,delay-only,30,1,hrl-comm__delay-only__d30__s1,0.1,0.04,,759.0,600,10,matrix_results/overnight_v1_pk/hrl/hrl-comm__delay-only__d30__s1/metrics.csv
pk,hrl,rware-medium-4ag-v2,hrl-comm,delay-only,30,2,hrl-comm__delay-only__d30__s2,0.1,0.04,,679.0,600,10,matrix_results/overnight_v1_pk/hrl/hrl-comm__delay-only__d30__s2/metrics.csv
pk,hrl,rware-medium-4ag-v2,hrl-comm,delay-only,30,3,hrl-comm__delay-only__d30__s3,0.1,0.08,,720.0,600,10,matrix_results/overnight_v1_pk/hrl/hrl-comm__delay-only__d30__s3/metrics.csv
pk,hrl,rware-medium-4ag-v2,hrl,delay-dropout,30,0,hrl__delay-dropout__d30__s0,0.08,0.04,,979.0,600,10,matrix_results/overnight_v1_pk/hrl/hrl__delay-dropout__d30__s0/metrics.csv
pk,hrl,rware-medium-4ag-v2,hrl,delay-dropout,30,1,hrl__delay-dropout__d30__s1,0.1,0.06000000000000001,,1022.0,600,10,matrix_results/overnight_v1_pk/hrl/hrl__delay-dropout__d30__s1/metrics.csv
pk,hrl,rware-medium-4ag-v2,hrl,delay-dropout,30,2,hrl__delay-dropout__d30__s2,0.08,0.05,,1001.0,600,10,matrix_results/overnight_v1_pk/hrl/hrl__delay-dropout__d30__s2/metrics.csv
pk,hrl,rware-medium-4ag-v2,hrl,delay-dropout,30,3,hrl__delay-dropout__d30__s3,0.1,0.09,,990.0,600,10,matrix_results/overnight_v1_pk/hrl/hrl__delay-dropout__d30__s3/metrics.csv
pk,hrl,rware-medium-4ag-v2,hrl,delay-only,30,0,hrl__delay-only__d30__s0,0.06,0.030000000000000006,,1041.0,600,10,matrix_results/overnight_v1_pk/hrl/hrl__delay-only__d30__s0/metrics.csv
pk,hrl,rware-medium-4ag-v2,hrl,delay-only,30,1,hrl__delay-only__d30__s1,0.1,0.06000000000000001,,1011.0,600,10,matrix_results/overnight_v1_pk/hrl/hrl__delay-only__d30__s1/metrics.csv
pk,hrl,rware-medium-4ag-v2,hrl,delay-only,30,2,hrl__delay-only__d30__s2,0.08,0.030000000000000006,,974.0,600,10,matrix_results/overnight_v1_pk/hrl/hrl__delay-only__d30__s2/metrics.csv
pk,hrl,rware-medium-4ag-v2,hrl,delay-only,30,3,hrl__delay-only__d30__s3,0.08,0.11000000000000001,,1063.0,600,10,matrix_results/overnight_v1_pk/hrl/hrl__delay-only__d30__s3/metrics.csv
